,window,window_length,overlap,overlap_length,hop_length,n_fft,n_mels,n_neighbor,channel,accuracy,recall,precision,f1,cross_val_scores,cross_val_mean,cross_val_stdev
0,1,16000,0.5,8000,8000,16384,32,5,3,0.990990990990991,0.994061757719715,0.9820143884892086,0.9878556330169233,[0.98648649 0.97747748 0.98648649 0.98423423 0.98648649],98.42342342342343,0.34891741857724556
1,1,16000,0.5,8000,8000,16384,32,5,3,0.990990990990991,0.994061757719715,0.9820143884892086,0.9878556330169233,[0.98648649 0.97747748 0.98648649 0.98423423 0.98648649],98.42342342342343,0.34891741857724556
2,1,16000,0.5,8000,8000,16384,512,3,1,0.995243757431629,0.9973579920739762,0.9772727272727273,0.9870475897119976,[0.99851412 0.99702823 0.99554235 0.99405646 0.99255952],99.55401365598246,0.21044867910104756
3,1,16000,0.5,8000,8000,16384,512,3,6,0.9731379731379731,0.9835820895522388,0.935672514619883,0.9572790212443096,[0.96946565 0.96793893 0.97557252 0.96793893 0.96335878],96.88549618320609,0.393407594709164
4,1,16000,0.5,8000,8000,16384,32,5,3,0.9448441247002398,0.9708121827411167,0.75,0.8183006535947712,[0.91766467 0.93703148 0.92203898 0.92803598 0.92503748],92.5961719738933,0.6510382073843947
5,1,16000,0.5,8000,8000,16384,32,5,3,0.990990990990991,0.994061757719715,0.9820143884892086,0.9878556330169233,[0.96396396 0.97297297 0.9954955  0.97297297 0.98198198],97.74774774774775,1.0659603212792095
