,window,window_length,overlap,overlap_length,hop_length,n_fft,n_mels,n_neighbor,channel,accuracy,recall,precision,f1,cross_val_scores,cross_val_mean,cross_val_stdev
0,1,16000,0.5,8000,8000,16384,512,3,0,0.9291666666666667,0.9403248210278876,0.8734142805364262,0.9003881930711198,[0.9875     0.95416667 0.9        0.8875     0.825     ],91.08333333333334,5.618669277012528
1,1,16000,0.5,8000,8000,16384,512,3,1,0.9333333333333333,0.9505208333333333,0.8762232693004712,0.9056511056511056,[0.98333333 0.95       0.9        0.9        0.82083333],91.08333333333333,5.499999999999999
2,1,16000,0.5,8000,8000,16384,512,3,2,0.9125,0.9376106717034589,0.8359006886553099,0.872,[0.98333333 0.94166667 0.88333333 0.875      0.79166667],89.49999999999999,6.5106749948748694
3,1,16000,0.5,8000,8000,16384,512,3,3,0.9125,0.9376106717034589,0.8359006886553099,0.872,[0.98333333 0.94166667 0.9        0.9        0.78333333],90.16666666666666,6.674994798166928
4,1,16000,0.5,8000,8000,16384,512,3,4,0.8875,0.9224470776194915,0.7875135918811164,0.8282032927702219,[0.9875     0.96666667 0.8875     0.85833333 0.8125    ],90.25000000000001,6.57541718152629
5,1,16000,0.5,8000,8000,16384,512,3,5,0.9041666666666667,0.9153846153846155,0.83028271112722,0.8616922652902708,[0.99166667 0.9625     0.92083333 0.85       0.79166667],90.33333333333333,7.338066654250442
6,1,16000,0.5,8000,8000,16384,512,3,6,0.925,0.92430441898527,0.8758608191373686,0.8964624676445211,[0.99583333 0.97916667 0.925      0.86666667 0.8       ],91.33333333333334,7.252394240678191
7,1,16000,0.5,8000,8000,16384,512,3,7,0.9208333333333333,0.9211017740429505,0.8677963030083363,0.8900436449567167,[0.9875     0.97083333 0.94583333 0.8875     0.8125    ],92.08333333333334,6.390096504226939
